Ranking,Country,Quantity,Filters
156,Mauritania,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
157,Belize,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
158,Azerbaijan,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
159,Honduras,2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
160,Anguilla (United Kingdom),2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
161,Congo,2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
162,Lao People's Democratic Republic,2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
163,North Macedonia,2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
164,Puerto Rico,2,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
165,Sri Lanka,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
166,Equatorial Guinea,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
167,Fiji,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
168,Saint-Barthélemy,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
169,Montenegro,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
170,Antarctica,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
171,Guinea,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
172,Cayman Islands (United Kingdom),1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
173,Guadeloupe,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
174,Albania,1,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
